feature,importance
acoustic_7d_avg_B,0.42922515
acoustic_7d_avg_A,0.15968934
acoustic_30d_avg_B,0.14495915
pressure_30d_avg_A,0.03807037
corrosion_A,0.034598153
pressure_7d_avg_A,0.032822642
corrosion_30d_avg_A,0.031815168
acoustic_30d_avg_A,0.01709857
pressure_7d_avg_B,0.016358966
pressure_30d_avg_B,0.015164984
acoustic_90d_avg_B,0.014147932
corrosion_7d_avg_A,0.012841449
flow_7d_avg_A,0.010192511
corrosion_90d_avg_B,0.004575335
flow_30d_avg_A,0.004118448
flow_90d_avg_A,0.0032977036
pressure_B,0.0027785036
corrosion_90d_avg_A,0.0020025247
flow_A,0.0016307861
pressure_7d_std_A,0.0014198825
acoustic_90d_avg_A,0.0013206681
corrosion_30d_change_A,0.0012528772
flow_30d_avg_B,0.0012468027
pressure_90d_avg_B,0.0012145357
corrosion_ratio_AB,0.0011408724
pressure_A,0.0011362595
flow_7d_avg_B,0.0011098105
temperature_90d_avg_A,0.0010968591
corrosion_30d_avg_B,0.0010938344
flow_90d_change_B,0.0010725353
pressure_90d_avg_A,0.0010428093
temperature_30d_avg_B,0.0009636589
temperature_30d_avg_A,0.00090940093
flow_7d_std_A,0.00080024183
flow_90d_change_A,0.00075246004
corrosion_7d_change_A,0.00067959295
pressure_90d_change_B,0.00067418104
temperature_90d_avg_B,0.0005938807
flow_30d_change_B,0.00058230833
corrosion_90d_change_A,0.00049533136
flow_B,0.00040727074
flow_90d_avg_B,0.00035507337
flow_30d_change_A,0.0003299981
corrosion_B,0.00030334375
pressure_7d_std_B,0.00029681198
pressure_90d_std_B,0.00023890028
flow_30d_std_B,0.0001893202
corrosion_90d_std_A,0.00018544741
flow_30d_std_A,0.00015133993
pressure_90d_std_A,0.00013979786
pressure_30d_std_A,0.00013032461
pressure_90d_change_A,0.00011754404
flow_90d_std_B,0.0001150719
temperature_7d_avg_A,0.00010860689
corrosion_90d_std_B,9.7902746e-05
corrosion_diff_AB,9.087485e-05
temperature_7d_avg_B,8.981906e-05
flow_90d_std_A,7.7708464e-05
flow_pressure_ratio_B,3.2253796e-05
temperature_90d_change_A,2.9400773e-05
acoustic_90d_std_B,2.6972742e-05
temperature_90d_change_B,2.616785e-05
acoustic_30d_std_B,2.5244e-05
corrosion_7d_std_A,2.4086983e-05
pressure_30d_change_A,2.3599208e-05
corrosion_7d_change_B,2.27441e-05
corrosion_7d_avg_B,2.2453893e-05
pressure_30d_std_B,2.1527758e-05
corrosion_30d_change_B,2.0008863e-05
temperature_90d_std_B,1.957442e-05
flow_pressure_ratio_A,1.8327773e-05
temperature_30d_std_B,1.7127255e-05
acoustic_30d_std_A,1.4541102e-05
acoustic_90d_std_A,1.3945147e-05
flow_7d_std_B,1.3177494e-05
temperature_90d_std_A,1.3072194e-05
temperature_30d_std_A,1.1189236e-05
acoustic_7d_std_B,1.079428e-05
pressure_30d_change_B,1.0168003e-05
corrosion_30d_std_A,9.495019e-06
acoustic_7d_std_A,9.228661e-06
corrosion_90d_change_B,8.924711e-06
flow_loss_percent_AB,7.178529e-06
pressure_ratio_AB,6.7984906e-06
pressure_gradient_AB,6.471837e-06
flow_drop_AB,6.3363045e-06
acoustic_B,6.2881654e-06
flow_7d_change_B,5.689884e-06
flow_efficiency_AB,5.2184064e-06
temperature_A,5.116561e-06
temperature_avg_AB,4.9991218e-06
temperature_diff_AB,4.9171435e-06
pressure_7d_change_B,4.9168334e-06
segment_efficiency,4.6780924e-06
temperature_7d_std_B,4.5952333e-06
temperature_7d_change_B,4.4754956e-06
corrosion_30d_std_B,4.4285275e-06
corrosion_7d_std_B,4.4121352e-06
acoustic_A,4.3658583e-06
acoustic_90d_change_B,4.207228e-06
flow_7d_change_A,3.8579606e-06
acoustic_90d_change_A,3.6431031e-06
pressure_7d_change_A,3.5709802e-06
temperature_B,3.537231e-06
temperature_7d_std_A,3.530823e-06
acoustic_30d_change_B,3.3730919e-06
temperature_30d_change_A,3.1853133e-06
temperature_7d_change_A,3.1520547e-06
temperature_30d_change_B,3.1260356e-06
acoustic_diff_AB,3.123423e-06
acoustic_ratio_AB,3.1054224e-06
acoustic_7d_change_B,3.0598183e-06
pressure_drop_AB,3.0154515e-06
acoustic_7d_change_A,3.0071137e-06
acoustic_30d_change_A,2.825382e-06
